"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Arl6ip5",6.41062126323724e-19,1.2623364056322,1,0.9,1.61092501723889e-14
"Stmn1",4.74310867434406e-16,1.58853259427429,1,0.9,1.19189577877592e-11
"Gm15655",5.61493329472194e-14,1.28020504792226,0.9,0.9,1.41097658763068e-09
"Zbp1",6.29682633897578e-13,1.53665867169872,1,0.9,1.58232949072122e-08
"Lgals3bp",2.74513229959723e-12,1.02241642701824,1,0.9,6.89824295565789e-08
"Parp14",4.21100799279406e-11,0.299030278079632,1,1,1.05818419850922e-06
"Slfn8",7.43387057724037e-11,0.933360022113963,1,0.9,1.86805733735473e-06
"Ost4",9.83317633923686e-11,-0.817633589962305,1,1,2.47097888228683e-06
"Gm42418",4.50049669141363e-10,1.82289670793612,1,1,1.13092981358533e-05
"Dgkz",8.02478545216462e-10,0.965437864449585,1,0.9,2.01654833627445e-05
"Xaf1",8.5699434584879e-10,1.16585894954047,1,0.9,2.15354109168342e-05
"Plekho1",3.70203001184476e-09,0.760180413364123,1,0.9,9.3028312167647e-05
"Ifih1",4.60004284612655e-09,1.08343578423267,1,0.9,0.000115594476680314
"Ifi211",5.49214512219028e-09,1.03738631628444,0.9,0.9,0.00013801211477552
"Rsad2",8.82504446326716e-09,1.42407340315065,1,0.9,0.000221764542317441
"Gm4070",1.00417475862731e-08,1.03933731576459,1,0.9,0.000252339075095458
"Phf11d",1.76128782166223e-08,1.02437065104401,1,0.9,0.000442594016705502
"Cd180",1.96290699875457e-08,1.14280806803419,1,0.9,0.000493258899717036
"Rnf213",3.99844047132878e-08,0.110129877017698,1,1,0.00100476810604021
"Trim30a",4.86261536336281e-08,0.764685824700134,1,0.9,0.00122192661465944
"Chchd10",6.86089476120615e-08,1.36558434746757,1,0.9,0.00172407424454349
"S100a5",1.40494156899058e-07,1.25801264925546,1,1,0.00353047766871644
"Eif2ak2",1.85382652491674e-07,0.87254450728464,1,0.9,0.00465848067446327
"Parp12",2.26398858214801e-07,0.906175271544524,1,0.9,0.00568917690807972
"Ifi209",3.66051887173624e-07,0.941319726699348,1,0.9,0.00919851787278599
"Rnf10",4.08596418388307e-07,0.852653793854716,1,0.9,0.0102676193976798
"Sp100",4.48806941100573e-07,0.790439350659959,1,0.9,0.0112780696229163
"Ifi203",4.77376392852887e-07,0.304169004930418,1,1,0.0119959913760002
"Oasl2",7.15309395985467e-07,1.06682300707572,1,0.9,0.0179750098117188
