"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050792","regulation of viral process","12/33","149/15262",0.0805369127516778,37.2471018913972,20.6968310467235,1.42333430273312e-16,1.06465405844437e-13,7.67102276841428e-14,"Eif2ak2/Ifi203/Ifi209/Ifi213/Ifih1/Isg15/Oasl2/Rsad2/Sp100/Stat1/Stom/Trim30a",12
"GO:0048525","negative regulation of viral process","10/33","77/15262",0.12987012987013,60.0629673356946,24.1861086476584,4.91563589700569e-16,1.83844782548013e-13,1.32463451540364e-13,"Eif2ak2/Ifi203/Ifi209/Ifi213/Ifih1/Isg15/Oasl2/Rsad2/Sp100/Stat1",10
"GO:0009615","response to virus","14/33","347/15262",0.0403458213256484,18.6593310627893,15.4895973956147,4.21256736981301e-15,1.05033346420671e-12,7.56784032752373e-13,"Eif2ak2/Ifi203/Ifi209/Ifi213/Ifih1/Irf7/Isg15/Oasl2/Rsad2/Slfn8/Stat1/Stmn1/Trim30a/Zbp1",14
"GO:0051607","defense response to virus","13/33","280/15262",0.0464285714285714,21.4725108225108,16.0945189828655,8.34516499901256e-15,1.56054585481535e-12,1.12440117881432e-12,"Eif2ak2/Ifi203/Ifi209/Ifi213/Ifih1/Irf7/Isg15/Oasl2/Rsad2/Slfn8/Stat1/Trim30a/Zbp1",13
"GO:0045071","negative regulation of viral genome replication","8/33","54/15262",0.148148148148148,68.5162738496072,23.1356692423049,1.85362404308053e-13,2.77302156844848e-11,1.99801160012049e-11,"Eif2ak2/Ifi203/Ifi209/Ifi213/Ifih1/Isg15/Oasl2/Rsad2",8
"GO:0016032","viral process","12/33","305/15262",0.039344262295082,18.1961251862891,14.1211817809857,7.977039072253e-13,9.9447087100754e-11,7.16534035963778e-11,"Eif2ak2/Ifi203/Ifi209/Ifi213/Ifih1/Isg15/Oasl2/Rsad2/Sp100/Stat1/Stom/Trim30a",12
"GO:0019079","viral genome replication","9/33","113/15262",0.079646017699115,36.8350764279968,17.7978829716631,1.60814107385674e-12,1.71841360463549e-10,1.238147714007e-10,"Eif2ak2/Ifi203/Ifi209/Ifi213/Ifih1/Isg15/Oasl2/Rsad2/Stom",9
"GO:1903900","regulation of viral life cycle","9/33","119/15262",0.0756302521008403,34.977845683728,17.3211264375075,2.58325507837236e-12,2.41534349827816e-10,1.74029815806138e-10,"Eif2ak2/Ifi203/Ifi209/Ifi213/Ifih1/Isg15/Oasl2/Rsad2/Trim30a",9
"GO:0045069","regulation of viral genome replication","8/33","81/15262",0.0987654320987654,45.6775158997381,18.7669678555399,5.50847409348348e-12,4.57815402436182e-10,3.29864179633163e-10,"Eif2ak2/Ifi203/Ifi209/Ifi213/Ifih1/Isg15/Oasl2/Rsad2",8
"GO:0019058","viral life cycle","10/33","226/15262",0.0442477876106195,20.4639313488871,13.7224418139598,2.85497303760154e-11,2.13551983212595e-09,1.53868020552841e-09,"Eif2ak2/Ifi203/Ifi209/Ifi213/Ifih1/Isg15/Oasl2/Rsad2/Stom/Trim30a",10
"GO:0045088","regulation of innate immune response","12/33","436/15262",0.0275229357798165,12.7289407839867,11.5665226646109,5.23810218708264e-11,3.56190948721619e-09,2.56641944477159e-09,"Eif2ak2/Ifi203/Ifi209/Ifi211/Ifi213/Ifih1/Irf7/Isg15/Parp14/Rsad2/Trim30a/Zbp1",12
"GO:0034340","response to type I interferon","7/33","65/15262",0.107692307692308,49.8060606060606,18.3554178008981,7.13645478504927e-11,4.44839014934738e-09,3.20514460521511e-09,"Ifih1/Irf7/Isg15/Oasl2/Sp100/Stat1/Zbp1",7
"GO:0140888","interferon-mediated signaling pathway","7/33","77/15262",0.0909090909090909,42.0440771349862,16.8074269497414,2.42125231361786e-10,1.39315133122012e-08,1.0037904328521e-08,"Ifih1/Irf7/Isg15/Oasl2/Parp14/Stat1/Zbp1",7
"GO:0002833","positive regulation of response to biotic stimulus","11/33","393/15262",0.0279898218829517,12.9448685326548,11.1673349238537,3.34130555982544e-10,1.78521182767816e-08,1.28627702754182e-08,"Cd180/Eif2ak2/Ifi203/Ifi209/Ifi211/Ifi213/Ifih1/Irf7/Rsad2/Trim30a/Zbp1",11
"GO:0002218","activation of innate immune response","10/33","303/15262",0.033003300330033,15.2635263526353,11.6737318928567,5.0702292219318e-10,2.52835430533666e-08,1.82172446430111e-08,"Eif2ak2/Ifi203/Ifi209/Ifi211/Ifi213/Ifih1/Irf7/Rsad2/Trim30a/Zbp1",10
"GO:0060337","type I interferon-mediated signaling pathway","6/33","59/15262",0.101694915254237,47.0323574730354,16.4906338147873,2.62579781734493e-09,1.15535103963177e-07,8.32451072743409e-08,"Ifih1/Irf7/Isg15/Oasl2/Stat1/Zbp1",6
"GO:0071357","cellular response to type I interferon","6/33","59/15262",0.101694915254237,47.0323574730354,16.4906338147873,2.62579781734493e-09,1.15535103963177e-07,8.32451072743409e-08,"Ifih1/Irf7/Isg15/Oasl2/Stat1/Zbp1",6
"GO:0045089","positive regulation of innate immune response","10/33","368/15262",0.0271739130434783,12.5675230566535,10.4561397997889,3.32164126581175e-09,1.36131400655614e-07,9.8085107142801e-08,"Eif2ak2/Ifi203/Ifi209/Ifi211/Ifi213/Ifih1/Irf7/Rsad2/Trim30a/Zbp1",10
"GO:0002753","cytoplasmic pattern recognition receptor signaling pathway","8/33","180/15262",0.0444444444444444,20.5548821548822,12.2849886669799,3.45788317173351e-09,1.36131400655614e-07,9.8085107142801e-08,"Eif2ak2/Ifi203/Ifi209/Ifi213/Ifih1/Irf7/Rsad2/Trim30a",8
"GO:0035456","response to interferon-beta","6/33","68/15262",0.0882352941176471,40.807486631016,15.3142568229247,6.29188965583593e-09,2.35316673128264e-07,1.69549868620421e-07,"Ifi203/Ifi209/Ifi211/Ifi213/Stat1/Xaf1",6
"GO:0031349","positive regulation of defense response","10/33","481/15262",0.0207900207900208,9.61506961506961,8.93700896586199,4.24920255175162e-08,1.5135254803382e-06,1.09052215864503e-06,"Eif2ak2/Ifi203/Ifi209/Ifi211/Ifi213/Ifih1/Irf7/Rsad2/Trim30a/Zbp1",10
"GO:0002221","pattern recognition receptor signaling pathway","8/33","267/15262",0.0299625468164794,13.8572239246397,9.86602873826613,7.51097929564473e-08,2.55373296051921e-06,1.84001023893306e-06,"Eif2ak2/Ifi203/Ifi209/Ifi213/Ifih1/Irf7/Rsad2/Trim30a",8
"GO:0062207","regulation of pattern recognition receptor signaling pathway","7/33","177/15262",0.0395480225988701,18.2903612395138,10.7703747737154,8.3002883535994e-08,2.69939812543146e-06,1.94496459361231e-06,"Eif2ak2/Ifi203/Ifi209/Ifi213/Irf7/Rsad2/Trim30a",7
"GO:0002758","innate immune response-activating signaling pathway","8/33","273/15262",0.0293040293040293,13.5526695526696,9.7419043848172,8.91432771788166e-08,2.74570231698001e-06,1.97832759118177e-06,"Eif2ak2/Ifi203/Ifi209/Ifi213/Ifih1/Irf7/Rsad2/Trim30a",8
"GO:0141085","regulation of inflammasome-mediated signaling pathway","5/33","53/15262",0.0943396226415094,43.6306460834763,14.4717913451896,9.17681255675137e-08,2.74570231698001e-06,1.97832759118177e-06,"Eif2ak2/Ifi203/Ifi209/Ifi213/Trim30a",5
"GO:0035458","cellular response to interferon-beta","5/33","59/15262",0.0847457627118644,39.1936312275295,13.6824881714815,1.58632211197298e-07,4.56372669136841e-06,3.28824664506139e-06,"Ifi203/Ifi209/Ifi211/Ifi213/Stat1",5
"GO:0141084","inflammasome-mediated signaling pathway","5/33","60/15262",0.0833333333333333,38.540404040404,13.5624133471718,1.72788492093059e-07,4.78688118835585e-06,3.44903344840725e-06,"Eif2ak2/Ifi203/Ifi209/Ifi213/Trim30a",5
"GO:0141086","negative regulation of inflammasome-mediated signaling pathway","4/33","25/15262",0.16,73.9975757575758,17.0036235279957,2.21863409389595e-07,5.92692250797917e-06,4.27045359426588e-06,"Ifi203/Ifi209/Ifi213/Trim30a",4
"GO:0039531","regulation of cytoplasmic pattern recognition receptor signaling pathway","6/33","125/15262",0.048,22.1992727272727,11.0781906759996,2.47239035692262e-07,6.37706202406249e-06,4.59478716059667e-06,"Eif2ak2/Ifi203/Ifi209/Ifi213/Rsad2/Trim30a",6
"GO:0002757","immune response-activating signaling pathway","9/33","447/15262",0.0201342281879195,9.3117754728493,8.3025119523644,3.02050189361133e-07,7.53111805473759e-06,5.42630515624211e-06,"Dgkz/Eif2ak2/Ifi203/Ifi209/Ifi213/Ifih1/Irf7/Rsad2/Trim30a",9
"GO:0001819","positive regulation of cytokine production","9/33","464/15262",0.0193965517241379,8.97061128526646,8.11637082930245,4.1361656019371e-07,9.98016732338371e-06,7.19088892425058e-06,"Eif2ak2/Ifi203/Ifi209/Ifi213/Ifih1/Irf7/Isg15/Rsad2/Stat1",9
"GO:0002764","immune response-regulating signaling pathway","9/33","471/15262",0.0191082802547771,8.8372900984366,8.04248723653074,4.69066189111259e-07,1.09644221704757e-05,7.90006213240015e-06,"Dgkz/Eif2ak2/Ifi203/Ifi209/Ifi213/Ifih1/Irf7/Rsad2/Trim30a",9
"GO:0030522","intracellular receptor signaling pathway","8/33","345/15262",0.0231884057971014,10.7242863416776,8.50431452944114,5.32909445016433e-07,1.20792807537058e-05,8.70333766661606e-06,"Eif2ak2/Ifi203/Ifi209/Ifi213/Ifih1/Irf7/Rsad2/Trim30a",8
"GO:0031333","negative regulation of protein-containing complex assembly","6/33","148/15262",0.0405405405405405,18.7493857493858,10.1003692168093,6.70407642716649e-07,1.47489681397663e-05,1.06268951415147e-05,"Ifi203/Ifi209/Ifi213/Stmn1/Trim30a/Xaf1",6
"GO:0045824","negative regulation of innate immune response","5/33","89/15262",0.0561797752808989,25.9822948586994,11.0028293457682,1.25614034367815e-06,2.68455136306073e-05,1.93426723597958e-05,"Ifi203/Ifi209/Ifi213/Isg15/Parp14",5
"GO:0140971","regulation of AIM2 inflammasome complex assembly","3/33","11/15262",0.272727272727273,126.132231404959,19.3254290209616,1.50187764699723e-06,3.12056799987203e-05,2.24842501538767e-05,"Ifi203/Ifi209/Ifi213",3
