"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection","6/14","209/11156",0.0287081339712919,22.8762816131237,11.3166091736202,1.06640554880618e-07,5.865230518434e-06,4.49012862655235e-06,"Eif2ak2/H2-T24/Ifih1/Irf7/Sp100/Stat1",6
"Human Diseases","Infectious disease: viral","mmu05164","Influenza A","5/14","174/11156",0.028735632183908,22.8981937602627,10.3195183283962,1.55689265132398e-06,4.28145479114095e-05,3.27766873962944e-05,"Eif2ak2/Ifih1/Irf7/Rsad2/Stat1",5
"Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection","5/14","227/11156",0.0220264317180617,17.5519194461926,8.93075772196762,5.75305409104792e-06,0.000105472658335879,8.07446188217253e-05,"Eif2ak2/H2-T24/Irf7/Isg15/Stat1",5
"Human Diseases","Infectious disease: viral","mmu05162","Measles","4/14","142/11156",0.028169014084507,22.4466800804829,9.11693666286861,2.28109736754652e-05,0.000313650888037647,0.000240115512373318,"Eif2ak2/Ifih1/Irf7/Stat1",4
"Human Diseases","Infectious disease: viral","mmu05160","Hepatitis C","4/14","164/11156",0.024390243902439,19.4355400696864,8.43056453184823,4.01757637093151e-05,0.000441933400802466,0.000338322220710022,"Eif2ak2/Irf7/Rsad2/Stat1",4
"Human Diseases","Infectious disease: viral","mmu05165","Human papillomavirus infection","5/14","357/11156",0.0140056022408964,11.1604641856743,6.91628872534634,5.14680554994339e-05,0.000471790508744811,0.000361179336838133,"Eif2ak2/H2-T24/Isg15/Oasl2/Stat1",5
"Organismal Systems","Immune system","mmu04622","RIG-I-like receptor signaling pathway","3/14","73/11156",0.0410958904109589,32.747553816047,9.64628878816968,9.29165919970686e-05,0.000730058937119825,0.00055889679396733,"Ifih1/Irf7/Isg15",3
"Human Diseases","Infectious disease: viral","mmu05167","Kaposi sarcoma-associated herpesvirus infection","4/14","222/11156",0.018018018018018,14.3577863577864,7.12588277522304,0.000130610046921003,0.000855204181522806,0.000654701765759086,"Eif2ak2/H2-T24/Irf7/Stat1",4
"Human Diseases","Cancer: overview","mmu05203","Viral carcinogenesis","4/14","226/11156",0.0176991150442478,14.1036662452592,7.05430429700535,0.000139942502431005,0.000855204181522806,0.000654701765759086,"Eif2ak2/H2-T24/Irf7/Sp100",4
"Human Diseases","Infectious disease: viral","mmu05171","Coronavirus disease - COVID-19","4/14","334/11156",0.0119760479041916,9.5431993156544,5.61897675412473,0.000622579116834448,0.00342418514258946,0.00262138575509241,"Eif2ak2/Ifih1/Isg15/Stat1",4
"Human Diseases","Infectious disease: viral","mmu05161","Hepatitis B","3/14","164/11156",0.0182926829268293,14.5766550522648,6.20859850658602,0.00100788064967593,0.00503940324837966,0.00385791636239591,"Ifih1/Irf7/Stat1",3
"Cellular Processes","Cell growth and death","mmu04217","Necroptosis","3/14","177/11156",0.0169491525423729,13.5060532687651,5.94487521320376,0.00125659141295634,0.00575937730938324,0.0044090926770398,"Eif2ak2/Stat1/Zbp1",3
"Organismal Systems","Immune system","mmu04623","Cytosolic DNA-sensing pathway","2/14","82/11156",0.024390243902439,19.4355400696864,5.93919739189626,0.00458624294483579,0.0194033355358437,0.0148542281614115,"Irf7/Zbp1",2
"Organismal Systems","Immune system","mmu04620","Toll-like receptor signaling pathway","2/14","104/11156",0.0192307692307692,15.3241758241758,5.20215278149738,0.00728095565438201,0.0286037543565008,0.0218976109906226,"Irf7/Stat1",2
