"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.50672808959959,0.964,0.216,0,"0","Umodl1"
0,2.47924204173567,0.969,0.222,0,"0","Adcy3"
0,2.40841105651266,0.964,0.228,0,"0","Ric8b"
0,2.49550837298562,0.964,0.23,0,"0","Pcolce2"
0,2.34157748145663,0.977,0.247,0,"0","1700012B09Rik"
0,2.12464507254182,0.968,0.24,0,"0","Clgn"
0,2.42046741023403,0.937,0.213,0,"0","Cnga2"
0,2.45156356433854,0.948,0.224,0,"0","Spef2"
0,2.30371469010261,0.948,0.225,0,"0","Ctxn3"
0,2.36591249658807,0.941,0.224,0,"0","Acbd7"
0,2.30320133777181,0.948,0.233,0,"0","Jakmip1"
0,2.15779808376708,0.956,0.246,0,"0","Dcdc2a"
0,2.35888041295939,0.983,0.274,0,"0","Plekhb1"
0,2.22096928182392,0.922,0.214,0,"0","Nrn1l"
0,2.02225162255086,0.944,0.237,0,"0","Syt1"
0,2.78306300391439,0.906,0.2,0,"0","Gramd1c"
0,2.12518826334253,0.962,0.256,0,"0","Flrt1"
0,1.9637317306825,0.941,0.238,0,"0","Cntn4"
0,1.9893464611855,0.981,0.286,0,"0","Scn9a"
0,2.2120641560877,0.909,0.216,0,"0","Tmem74bos"
0,2.05967373320996,0.988,0.295,0,"0","Aplp1"
0,1.78696863987563,0.949,0.263,0,"0","Elavl3"
0,2.30317746254695,0.908,0.223,0,"0","Cfap69"
0,2.1609637143754,0.885,0.204,0,"0","Faim2"
0,1.90861811620995,0.952,0.271,0,"0","Uchl1"
0,2.12149731044536,0.89,0.218,0,"0","Fgf12"
0,1.75726945733888,0.931,0.26,0,"0","Ebf2"
0,2.04173506762023,0.908,0.239,0,"0","Tspan7"
0,2.17205742382391,0.899,0.231,0,"0","Ak1"
0,2.05546143726111,0.9,0.236,0,"0","Tom1"
0,2.3868184129547,0.886,0.222,0,"0","Pde4a"
0,2.35983404177312,0.853,0.19,0,"0","Kcnc4"
0,2.07902575730383,0.899,0.245,0,"0","Tspyl4"
0,2.46789432805313,0.997,0.344,0,"0","Stom"
0,2.32522493378143,0.87,0.218,0,"0","Manea"
0,2.27603686607017,0.855,0.203,0,"0","Acsl6"
0,2.02223973762071,0.946,0.295,0,"0","Igsf8"
0,2.19712855978131,0.843,0.195,0,"0","Fam81b"
0,2.47502414181917,0.985,0.338,0,"0","Rtn1"
0,2.12993760584299,0.991,0.346,0,"0","Ttll7"
0,2.23646895570535,0.857,0.212,0,"0","Lrriq1"
0,2.00832976737693,0.923,0.279,0,"0","Rufy3"
0,2.214689077348,0.884,0.24,0,"0","Pde1c"
0,2.43722578369389,0.817,0.174,0,"0","Cnga4"
0,1.87153547027085,0.92,0.286,0,"0","Nrxn1"
0,2.19025838505462,0.848,0.214,0,"0","Oscp1"
0,1.86522910158395,0.894,0.261,0,"0","Syt11"
0,2.0915332207566,0.905,0.274,0,"0","Pde6d"
0,1.57564109713688,0.87,0.239,0,"0","Lhx2"
0,2.25139985397262,0.892,0.261,0,"0","Id4"
0,2.38935896012419,0.808,0.178,0,"0","Cngb1"
0,2.01804888136782,0.986,0.356,0,"0","Serpine2"
0,2.11403114337725,0.841,0.211,0,"0","Snap25"
0,1.94646842096786,0.866,0.237,0,"0","Trnp1"
0,1.96256950517523,0.993,0.367,0,"0","Olfm1"
0,1.98324568177409,0.984,0.358,0,"0","Prxl2b"
0,2.29870105223891,0.831,0.206,0,"0","Mapk8ip2"
0,2.28476928433716,0.818,0.194,0,"0","Ttll6"
0,1.59444356355025,0.86,0.238,0,"0","Stmn3"
0,1.80596734416342,0.862,0.244,0,"0","Ebf3"
